name,country,logo_url,categories,statuses,is_global,partner_url
Glovo,Kenya,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a768a236f4ece5373e0383_Glovo_logo.svg%20(1).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
GoFrugal,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566e5c439927ba4ea56bba6_Gofrugal-logo-100.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Grafterr/ePOS Hybrid,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb13b9e2ae9f5c574a31e_Grafterr.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Grafterr/ePOS Hybrid,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb13b9e2ae9f5c574a31e_Grafterr.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Grubhub,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/686cb98326e6df8dace2e8af_grubhub-logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
HungerStation,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658985e3e50a245e83de82_hungerstation-logo-_1_.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Hungerbox-POS,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f3c243432e229d3fcf3_hungerbox-logo-6569797775be5.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
HungryPanda,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658911d72181129b64f455_HungryPanda-logo-_1_.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
I-Dine/Innosolv,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566de0b5c3a14c07b796d8c_I-Dine%20Logo-100.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
I-Dine/Innosolv,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566de0b5c3a14c07b796d8c_I-Dine%20Logo-100.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Instashop,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b3b020db50d63b642f99_Instashop-logo.webp,,Live,False,https://www.urbanpiper.com/integrations
Isthara,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b40b46c6cfbca69649808_ishtara%20(1).svg,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
JPOS/Sanguine,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2179ab2f7b647e1acf_sanguine-jpos-logo-6569797e5c2a6.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Jahez,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589b25b55bff7eb0f3fe4_Jahez-logo%20(1).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Jahez,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589b25b55bff7eb0f3fe4_Jahez-logo%20(1).webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Just Eat,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/655df765463edaf5ae7ca491_Just-Eat-Logo.png,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Just Eat,Ireland,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/655df765463edaf5ae7ca491_Just-Eat-Logo.png,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Keeta,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a19ce0c9699b437d871d7_Keeta%20logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Keeta,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a19ce0c9699b437d871d7_Keeta%20logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
Kuber POS,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2f7d92ceadd36813e34_Untitled%20design%20(47).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Kuber POS,Canada,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2f7d92ceadd36813e34_Untitled%20design%20(47).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Kurve,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698814dcd4aaffb405b0a7_Kurve_logo_logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
LS Retail,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6569809c07cc429c9bb400e4_ls-retail.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
LS Retail,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6569809c07cc429c9bb400e4_ls-retail.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
