name,slug,url,logo_url,countries,categories,tags,description
FreedomPay,freedompay,https://www.deliverect.com/en/integrations/freedompay,https://www.datocms-assets.com/165162/1753464340-freedompay-deliverect-logo.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,Receive online payments for orders placed through your first party channels with FreedomPay and Deliverect.
EDGEPoS,edgepos,https://www.deliverect.com/en/integrations/edgepos,/_next/image?url=https%3A%2F%2Fwww.datocms-assets.com%2F165162%2F1753464537-edgepos-logo.png&w=64&q=75,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with EDGEPoS, improving your restaurant’s operational flow and eliminating manual labor. "
PandaGo,pandago,https://www.deliverect.com/en/integrations/pandago,https://www.datocms-assets.com/165162/1767713271-pandago_logo.svg,FI; SE; IT; DE; GB; AU; MX; NL; CA; AE; US; FR; ES; BE; CH; PT; CO,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"From Uber Eats Integration to Square integration, we partner with 1000+ solutions. Connect your POS systems, delivery apps, kitchen operations, fulfillment, and more"
Micros Simphony,micros-simphony,https://www.deliverect.com/en/integrations/micros-simphony,/_next/image?url=https%3A%2F%2Fwww.datocms-assets.com%2F165162%2F1762795086-oracle-micros-simphony-logo-1.png&w=64&q=75,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with Oracle's Micros Simphony, improving your restaurant’s operational flow and eliminating manual labor. "
PAR Tech - Pixel Point,par-tech-pixel-point,https://www.deliverect.com/en/integrations/par-tech-pixel-point,https://www.datocms-assets.com/165162/1753465548-pixelpoint_final_logo_smol.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with PAR Tech, improving your restaurant’s operational flow and eliminating manual labor. "
Zonal,zonal,https://www.deliverect.com/en/integrations/zonal,https://www.datocms-assets.com/165162/1753465750-zonal_160wide-01.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with Zonal POS, improving your restaurant’s operational flow and eliminating manual labor."
Takeaway.com,takeaway-com,https://www.deliverect.com/en/integrations/takeaway-com,https://www.datocms-assets.com/165162/1753465753-takeaway_160wide-01.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"Deliverect automatically sends incoming orders from the Takeaway.com delivery platform to your POS system, saving time and eliminating mistakes."
Just Eat,just-eat,https://www.deliverect.com/en/integrations/just-eat,https://www.datocms-assets.com/165162/1753465755-justeat_160wide-01.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"With the Deliverect software, all orders from the Just Eat online ordering platform are sent straight to your point of sale and kitchen, saving time and reducing errors."
iPratico,ipratico,https://www.deliverect.com/en/integrations/ipratico,https://www.datocms-assets.com/165162/1753464762-ipratico-logo-deliverect.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with iPratico, improving your restaurant’s operational flow and eliminating manual labor. "
Lightspeed,lightspeed,https://www.deliverect.com/en/integrations/lightspeed,https://www.datocms-assets.com/165162/1753464331-lightspeed_160wide-01.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with Lightspeed, improving your restaurant’s operational flow and eliminating manual labor. "
